# [2025-02-18 00:22:33,184] INFO: Loading Hamiltonian from saved file
# [2025-02-18 00:22:35,407] INFO: Setting up the training loop
# [2025-02-18 00:22:36,672] INFO: Initializing parameters and states
# [2025-02-18 00:22:45,710] INFO: Burning in the sampler for 100 steps
# [2025-02-18 00:22:52,917] INFO: Start training
# HF energy from loaded: -101.70472113364448
# step	loss	e_tot	exp_es	exp_s	std_es	std_s	lr	time
0	-101.7781	-101.7781	-101.7612	0.9998	1.8616	0.0182	3.0e-04	21.6793
1	-101.7784	-101.7784	-101.7615	0.9998	1.8577	0.0182	3.0e-04	11.1785
2	-101.7854	-101.7854	-101.7645	0.9998	2.0678	0.0203	3.0e-04	10.2714
3	-101.7860	-101.7860	-101.7619	0.9998	2.2185	0.0217	3.0e-04	10.2871
4	-101.7891	-101.7891	-101.7591	0.9997	2.4770	0.0243	3.0e-04	10.2948
5	-101.7929	-101.7929	-101.7597	0.9997	2.6019	0.0255	3.0e-04	10.3198
6	-101.7965	-101.7965	-101.7557	0.9996	2.8860	0.0283	3.0e-04	10.3144
7	-101.7994	-101.7994	-101.7503	0.9995	3.1653	0.0311	3.0e-04	10.3173
8	-101.8066	-101.8066	-101.7511	0.9995	3.3650	0.0330	3.0e-04	10.3334
9	-101.8128	-101.8128	-101.7466	0.9994	3.6728	0.0360	3.0e-04	10.3725
10	-101.8114	-101.8114	-101.7302	0.9992	4.0698	0.0399	3.0e-04	10.3723
11	-101.8212	-101.8212	-101.7264	0.9991	4.3974	0.0431	3.0e-04	10.3750
12	-101.8311	-101.8311	-101.7214	0.9989	4.7265	0.0464	3.0e-04	10.3499
13	-101.8377	-101.8377	-101.7042	0.9987	5.2169	0.0512	3.0e-04	10.3608
14	-101.8470	-101.8470	-101.7012	0.9986	5.4511	0.0535	3.0e-04	10.3742
15	-101.8506	-101.8506	-101.6798	0.9983	5.8991	0.0579	3.0e-04	10.3707
16	-101.8565	-101.8565	-101.6647	0.9981	6.2494	0.0613	3.0e-04	10.3770
17	-101.8622	-101.8622	-101.6549	0.9980	6.4982	0.0638	3.0e-04	10.3742
18	-101.8750	-101.8750	-101.6278	0.9976	7.0944	0.0696	3.0e-04	10.3519
19	-101.8862	-101.8862	-101.6163	0.9974	7.4142	0.0727	3.0e-04	10.3818
20	-101.8962	-101.8962	-101.6058	0.9971	7.6913	0.0754	3.0e-04	10.3904
21	-101.8965	-101.8965	-101.5753	0.9968	8.0881	0.0793	3.0e-04	10.3902
22	-101.9110	-101.9110	-101.5543	0.9965	8.5221	0.0836	3.0e-04	10.3849
23	-101.9341	-101.9341	-101.5600	0.9963	8.7272	0.0856	3.0e-04	10.3760
24	-101.9504	-101.9504	-101.5313	0.9959	9.2380	0.0906	3.0e-04	10.3568
25	-101.9595	-101.9595	-101.5185	0.9957	9.4683	0.0928	3.0e-04	10.3807
26	-101.9706	-101.9706	-101.5125	0.9955	9.6592	0.0947	3.0e-04	10.3908
27	-101.9836	-101.9836	-101.5159	0.9954	9.7600	0.0957	3.0e-04	10.3904
28	-102.0035	-102.0035	-101.5006	0.9951	10.1223	0.0992	3.0e-04	10.3692
29	-102.0253	-102.0253	-101.5144	0.9950	10.2034	0.0999	3.0e-04	10.3694
30	-102.0250	-102.0250	-101.5028	0.9949	10.3182	0.1010	3.0e-04	10.3566
31	-102.0407	-102.0407	-101.4887	0.9946	10.6069	0.1039	3.0e-04	10.3821
32	-102.0446	-102.0446	-101.4980	0.9946	10.5567	0.1034	3.0e-04	10.3802
33	-102.0599	-102.0599	-101.4960	0.9945	10.7252	0.1050	3.0e-04	10.3900
34	-102.0837	-102.0837	-101.4856	0.9941	11.0463	0.1081	3.0e-04	10.3832
35	-102.0677	-102.0677	-101.4850	0.9943	10.9029	0.1067	3.0e-04	10.3867
36	-102.1008	-102.1008	-101.5042	0.9942	11.0358	0.1079	3.0e-04	10.3550
37	-102.1119	-102.1119	-101.5083	0.9941	11.1049	0.1086	3.0e-04	10.3535
38	-102.1306	-102.1306	-101.5532	0.9943	10.8653	0.1062	3.0e-04	10.3680
39	-102.1189	-102.1189	-101.5286	0.9942	10.9854	0.1073	3.0e-04	10.3936
40	-102.1452	-102.1452	-101.5451	0.9941	11.0783	0.1082	3.0e-04	10.3898
41	-102.1622	-102.1622	-101.5467	0.9940	11.2194	0.1095	3.0e-04	10.3881
42	-102.1779	-102.1779	-101.5461	0.9938	11.3830	0.1110	3.0e-04	10.3507
43	-102.1927	-102.1927	-101.5724	0.9939	11.2722	0.1100	3.0e-04	10.3585
44	-102.2012	-102.2012	-101.5930	0.9940	11.1743	0.1089	3.0e-04	10.3657
45	-102.1496	-102.1496	-101.5418	0.9941	11.1713	0.1089	3.0e-04	10.3937
46	-102.1858	-102.1858	-101.5759	0.9940	11.1884	0.1091	3.0e-04	10.3875
47	-102.1971	-102.1971	-101.5851	0.9940	11.2209	0.1093	3.0e-04	10.3892
48	-102.2152	-102.2152	-101.5939	0.9939	11.3070	0.1101	3.0e-04	10.3582
49	-102.1979	-102.1979	-101.5716	0.9939	11.3399	0.1104	3.0e-04	10.3668
50	-102.2065	-102.2065	-101.5930	0.9940	11.2344	0.1094	3.0e-04	10.3863
51	-102.2022	-102.2022	-101.5464	0.9936	11.6164	0.1131	3.0e-04	10.3894
52	-102.2401	-102.2401	-101.5735	0.9935	11.7137	0.1140	3.0e-04	10.3683
53	-102.2648	-102.2648	-101.6186	0.9937	11.5322	0.1122	3.0e-04	10.3578
54	-102.2401	-102.2401	-101.6088	0.9938	11.4028	0.1110	3.0e-04	10.3607
55	-102.2097	-102.2097	-101.5783	0.9938	11.4041	0.1110	3.0e-04	10.3727
56	-102.2658	-102.2658	-101.6148	0.9936	11.5772	0.1127	3.0e-04	10.3763
57	-102.2642	-102.2642	-101.6236	0.9937	11.4867	0.1117	3.0e-04	10.3883
58	-102.2665	-102.2665	-101.6523	0.9940	11.2483	0.1094	3.0e-04	10.3887
59	-102.2829	-102.2829	-101.6584	0.9939	11.3488	0.1103	3.0e-04	10.3813
60	-102.2516	-102.2516	-101.6290	0.9939	11.3223	0.1101	3.0e-04	10.3596
61	-102.2870	-102.2870	-101.6712	0.9940	11.2728	0.1096	3.0e-04	10.3667
62	-102.2949	-102.2949	-101.6896	0.9941	11.1716	0.1086	3.0e-04	10.3921
