# [2025-04-12 09:24:19,894] INFO: Loading Hamiltonian from saved file
# [2025-04-12 09:24:22,453] INFO: Setting up the training loop
# [2025-04-12 09:24:23,804] INFO: Initializing parameters and states
# [2025-04-12 09:24:33,433] INFO: Burning in the sampler for 100 steps
# [2025-04-12 09:24:48,564] INFO: Start training
# HF energy from loaded: -212.15836732150942
# step	loss	e_tot	exp_es	exp_s	std_es	std_s	lr	time
0	-212.3194	-212.3194	-212.2457	0.9997	5.5996	0.0263	3.0e-04	26.7001
1	-212.3207	-212.3207	-212.2471	0.9997	5.6012	0.0263	3.0e-04	15.0900
2	-212.3293	-212.3293	-212.2503	0.9996	5.8039	0.0273	3.0e-04	14.4092
3	-212.3340	-212.3340	-212.2465	0.9996	6.1077	0.0287	3.0e-04	14.4711
4	-212.3397	-212.3397	-212.2478	0.9996	6.2570	0.0294	3.0e-04	14.5278
5	-212.3302	-212.3302	-212.2322	0.9995	6.4611	0.0304	3.0e-04	14.5675
6	-212.3540	-212.3540	-212.2495	0.9995	6.6765	0.0314	3.0e-04	14.6021
7	-212.3621	-212.3621	-212.2501	0.9995	6.9080	0.0325	3.0e-04	14.6090
8	-212.3546	-212.3546	-212.2377	0.9994	7.0577	0.0332	3.0e-04	14.6474
9	-212.3624	-212.3624	-212.2321	0.9994	7.4514	0.0350	3.0e-04	14.6669
10	-212.3786	-212.3786	-212.2424	0.9994	7.6185	0.0358	3.0e-04	14.6792
11	-212.3851	-212.3851	-212.2289	0.9993	8.1573	0.0383	3.0e-04	14.6889
12	-212.3983	-212.3983	-212.2342	0.9992	8.3637	0.0393	3.0e-04	14.6924
13	-212.4188	-212.4188	-212.2456	0.9992	8.5933	0.0404	3.0e-04	14.7008
14	-212.4215	-212.4215	-212.2276	0.9991	9.0928	0.0427	3.0e-04	14.7107
15	-212.4382	-212.4382	-212.2377	0.9991	9.2476	0.0434	3.0e-04	14.7011
16	-212.4503	-212.4503	-212.2377	0.9990	9.5207	0.0447	3.0e-04	14.7140
17	-212.4556	-212.4556	-212.2295	0.9989	9.8191	0.0461	3.0e-04	14.7159
18	-212.4784	-212.4784	-212.2336	0.9988	10.2202	0.0480	3.0e-04	14.7236
19	-212.4908	-212.4908	-212.2308	0.9988	10.5333	0.0495	3.0e-04	14.7295
20	-212.4862	-212.4862	-212.2231	0.9988	10.5941	0.0497	3.0e-04	14.7383
21	-212.5177	-212.5177	-212.2361	0.9987	10.9641	0.0515	3.0e-04	14.7468
22	-212.5258	-212.5258	-212.2172	0.9985	11.4788	0.0539	3.0e-04	14.7318
23	-212.5196	-212.5196	-212.2085	0.9985	11.5279	0.0541	3.0e-04	14.7321
24	-212.5600	-212.5600	-212.2170	0.9984	12.1040	0.0568	3.0e-04	15.1258
25	-212.5740	-212.5740	-212.2320	0.9984	12.0901	0.0567	3.0e-04	14.7421
26	-212.6138	-212.6138	-212.2459	0.9983	12.5418	0.0588	3.0e-04	14.7358
27	-212.6412	-212.6412	-212.2539	0.9982	12.8712	0.0603	3.0e-04	14.7514
28	-212.6248	-212.6248	-212.2306	0.9981	12.9901	0.0609	3.0e-04	14.7560
29	-212.6280	-212.6280	-212.2297	0.9981	13.0621	0.0612	3.0e-04	14.7639
30	-212.6443	-212.6443	-212.2173	0.9980	13.5224	0.0633	3.0e-04	14.7654
31	-212.6751	-212.6751	-212.2167	0.9978	14.0152	0.0656	3.0e-04	14.7569
32	-212.6859	-212.6859	-212.2019	0.9977	14.4017	0.0674	3.0e-04	14.7665
33	-212.6827	-212.6827	-212.1836	0.9977	14.6312	0.0685	3.0e-04	14.7634
34	-212.7008	-212.7008	-212.1581	0.9974	15.2566	0.0714	3.0e-04	14.7682
35	-212.7313	-212.7313	-212.1511	0.9973	15.7788	0.0738	3.0e-04	14.7676
36	-212.7127	-212.7127	-212.1158	0.9972	15.9901	0.0748	3.0e-04	14.7618
