# [2026-07-19 01:29:26,386] INFO: JAX detected 4 total devices across 1 processes
# [2026-07-19 01:29:26,386] INFO: Current process 0 has 4 local devices
# [2026-07-19 01:29:26,386] INFO: Running on 4 GPUs with pmap for data parallelism
# [2026-07-19 01:29:26,392] INFO: Sample configuration:
# [2026-07-19 01:29:26,392] INFO:   Total sample_size: 10000
# [2026-07-19 01:29:26,392] INFO:   Sample batch: 1000
# [2026-07-19 01:29:26,392] INFO:   Local batch per device: 250
# [2026-07-19 01:29:26,392] INFO:   Sample steps: 10
# [2026-07-19 01:29:26,392] INFO:   Local sample size per device: 2500
# [2026-07-19 01:29:26,392] INFO:   Expected samples per device: 2500
# [2026-07-19 01:29:26,392] INFO: Loading Hamiltonian from saved file
2026-07-19 01:29:27.077673: W external/xla/xla/service/gpu/nvptx_compiler.cc:763] The NVIDIA driver's CUDA version is 12.8 which is older than the ptxas CUDA version (12.9.86). Because the driver is older than the ptxas version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
# [2026-07-19 01:29:27,841] INFO: Setting up the training loop
# [2026-07-19 01:29:28,420] INFO: Print s2: False, spin: False, rdm: False
# [2026-07-19 01:29:28,420] INFO: Initializing parameters and states
# [2026-07-19 01:29:34,186] INFO: Burning in the sampler for 100 steps
# [2026-07-19 01:29:40,940] INFO: Start training
/home/zzkj/anaconda3/envs/jax_env/lib/python3.9/site-packages/jax/_src/lax/lax.py:2773: ComplexWarning: Casting complex values to real discards the imaginary part
  x_bar = _convert_element_type(x_bar, x.aval.dtype, x.aval.weak_type)
# HF energy from loaded: -116.13503480328633
init_vhs in make_proj_op:  (100, 40, 40)
# step	loss	e_tot	exp_es	exp_s	std_es	std_s	lr	time
0	-116.1366	-116.1366	-116.1365	1.0000	0.1408	0.0012	3.0e-04	8.6274
1	-116.1367	-116.1367	-116.1365	1.0000	0.1635	0.0014	3.0e-04	0.4814
2	-116.1368	-116.1368	-116.1367	1.0000	0.1669	0.0014	3.0e-04	0.4823
3	-116.1369	-116.1369	-116.1367	1.0000	0.1659	0.0014	3.0e-04	0.4829
4	-116.1370	-116.1370	-116.1369	1.0000	0.1619	0.0014	3.0e-04	0.4816
5	-116.1371	-116.1371	-116.1370	1.0000	0.1689	0.0015	3.0e-04	0.4812
6	-116.1372	-116.1372	-116.1370	1.0000	0.1675	0.0014	3.0e-04	0.4815
7	-116.1375	-116.1375	-116.1374	1.0000	0.1580	0.0014	3.0e-04	0.4815
8	-116.1377	-116.1377	-116.1376	1.0000	0.1704	0.0015	3.0e-04	0.4812
9	-116.1380	-116.1380	-116.1378	1.0000	0.1809	0.0016	3.0e-04	0.4812
10	-116.1380	-116.1380	-116.1378	1.0000	0.1983	0.0017	3.0e-04	0.4817
11	-116.1384	-116.1384	-116.1382	1.0000	0.1970	0.0017	3.0e-04	0.4813
12	-116.1388	-116.1388	-116.1386	1.0000	0.1962	0.0017	3.0e-04	0.4810
13	-116.1393	-116.1393	-116.1391	1.0000	0.2277	0.0020	3.0e-04	0.4815
14	-116.1394	-116.1394	-116.1392	1.0000	0.2316	0.0020	3.0e-04	0.4816
15	-116.1399	-116.1399	-116.1396	1.0000	0.2416	0.0021	3.0e-04	0.4808
16	-116.1402	-116.1402	-116.1400	1.0000	0.2407	0.0021	3.0e-04	0.4810
17	-116.1410	-116.1410	-116.1407	1.0000	0.2608	0.0022	3.0e-04	0.4808
18	-116.1419	-116.1419	-116.1416	1.0000	0.2743	0.0024	3.0e-04	0.4814
19	-116.1424	-116.1424	-116.1420	1.0000	0.2952	0.0025	3.0e-04	0.4810
20	-116.1435	-116.1435	-116.1431	1.0000	0.3153	0.0027	3.0e-04	0.4813
21	-116.1440	-116.1440	-116.1434	1.0000	0.3540	0.0030	3.0e-04	0.4816
22	-116.1453	-116.1453	-116.1447	1.0000	0.3701	0.0032	3.0e-04	0.4811
23	-116.1468	-116.1468	-116.1461	1.0000	0.4019	0.0035	3.0e-04	0.4813
24	-116.1480	-116.1480	-116.1471	1.0000	0.4656	0.0040	3.0e-04	0.4808
25	-116.1492	-116.1492	-116.1481	1.0000	0.5011	0.0043	3.0e-04	0.4808
26	-116.1516	-116.1516	-116.1502	1.0000	0.5661	0.0049	3.0e-04	0.4804
27	-116.1522	-116.1522	-116.1506	1.0000	0.6178	0.0053	3.0e-04	0.4810
28	-116.1536	-116.1536	-116.1515	1.0000	0.6952	0.0060	3.0e-04	0.4810
29	-116.1564	-116.1564	-116.1538	1.0000	0.7828	0.0067	3.0e-04	0.4811
30	-116.1598	-116.1598	-116.1568	1.0000	0.8331	0.0072	3.0e-04	0.4807
31	-116.1623	-116.1623	-116.1585	1.0000	0.9445	0.0081	3.0e-04	0.4810
32	-116.1648	-116.1648	-116.1599	1.0000	1.0694	0.0092	3.0e-04	0.4805
33	-116.1646	-116.1646	-116.1583	0.9999	1.2148	0.0105	3.0e-04	0.4810
34	-116.1695	-116.1695	-116.1618	0.9999	1.3391	0.0115	3.0e-04	0.4807
35	-116.1695	-116.1695	-116.1598	0.9999	1.5051	0.0130	3.0e-04	0.4813
36	-116.1782	-116.1782	-116.1667	0.9999	1.6315	0.0141	3.0e-04	0.4816
37	-116.1793	-116.1793	-116.1656	0.9999	1.7853	0.0154	3.0e-04	0.4811
38	-116.1866	-116.1866	-116.1690	0.9998	2.0245	0.0174	3.0e-04	0.4810
39	-116.1879	-116.1879	-116.1680	0.9998	2.1509	0.0185	3.0e-04	0.4817
40	-116.1885	-116.1885	-116.1666	0.9998	2.2555	0.0194	3.0e-04	0.4809
41	-116.1950	-116.1950	-116.1679	0.9998	2.5077	0.0216	3.0e-04	0.4811
42	-116.2013	-116.2013	-116.1704	0.9997	2.6754	0.0230	3.0e-04	0.4812
43	-116.2076	-116.2076	-116.1705	0.9997	2.9283	0.0252	3.0e-04	0.4809
44	-116.2090	-116.2090	-116.1662	0.9996	3.1508	0.0271	3.0e-04	0.4808
45	-116.2143	-116.2143	-116.1664	0.9996	3.3232	0.0286	3.0e-04	0.4808
46	-116.2247	-116.2247	-116.1641	0.9995	3.7474	0.0323	3.0e-04	0.4807
47	-116.2258	-116.2258	-116.1601	0.9994	3.9016	0.0336	3.0e-04	0.4811
48	-116.2272	-116.2272	-116.1536	0.9994	4.1312	0.0356	3.0e-04	0.4807
49	-116.2399	-116.2399	-116.1496	0.9992	4.5727	0.0394	3.0e-04	0.4810
50	-116.2378	-116.2378	-116.1327	0.9991	4.9338	0.0425	3.0e-04	0.4806
51	-116.2429	-116.2429	-116.1280	0.9990	5.1614	0.0445	3.0e-04	0.4808
52	-116.2500	-116.2500	-116.1218	0.9989	5.4514	0.0469	3.0e-04	0.4810
53	-116.2303	-116.2303	-116.0893	0.9988	5.7084	0.0492	3.0e-04	0.4808
54	-116.2315	-116.2315	-116.0779	0.9987	5.9642	0.0514	3.0e-04	0.4811
55	-116.2490	-116.2490	-116.0802	0.9985	6.2537	0.0539	3.0e-04	0.4817
56	-116.2634	-116.2634	-116.0762	0.9984	6.5849	0.0567	3.0e-04	0.4810
57	-116.2654	-116.2654	-116.0728	0.9983	6.6811	0.0575	3.0e-04	0.4809
58	-116.2541	-116.2541	-116.0577	0.9983	6.7470	0.0581	3.0e-04	0.4815
59	-116.2577	-116.2577	-116.0371	0.9981	7.1458	0.0615	3.0e-04	0.4820
60	-116.2565	-116.2565	-116.0292	0.9980	7.2508	0.0624	3.0e-04	0.4812
61	-116.2722	-116.2722	-116.0401	0.9980	7.3264	0.0631	3.0e-04	0.4810
62	-116.2731	-116.2731	-116.0325	0.9979	7.4605	0.0643	3.0e-04	0.4810
63	-116.2860	-116.2860	-116.0025	0.9976	8.0931	0.0697	3.0e-04	0.4811
64	-116.2867	-116.2867	-116.0033	0.9976	8.0999	0.0697	3.0e-04	0.4815
65	-116.2964	-116.2964	-115.9653	0.9972	8.7567	0.0754	3.0e-04	0.4815
66	-116.2772	-116.2772	-115.9379	0.9971	8.8656	0.0763	3.0e-04	0.4815
67	-116.2723	-116.2723	-115.8879	0.9967	9.4363	0.0812	3.0e-04	0.4825
68	-116.2817	-116.2817	-115.8695	0.9965	9.7696	0.0841	3.0e-04	0.4816
69	-116.3070	-116.3070	-115.8351	0.9959	10.4497	0.0900	3.0e-04	0.4809
70	-116.2981	-116.2981	-115.8113	0.9958	10.6145	0.0914	3.0e-04	0.4811
71	-116.3018	-116.3018	-115.7808	0.9955	10.9833	0.0945	3.0e-04	0.4813
