# [2025-04-12 09:20:02,622] INFO: Loading Hamiltonian from saved file
# [2025-04-12 09:20:04,672] INFO: Setting up the training loop
# [2025-04-12 09:20:06,009] INFO: Initializing parameters and states
# [2025-04-12 09:20:15,549] INFO: Burning in the sampler for 100 steps
# [2025-04-12 09:20:29,985] INFO: Start training
# HF energy from loaded: -138.47895848238986
# step	loss	e_tot	exp_es	exp_s	std_es	std_s	lr	time
0	-138.5775	-138.5775	-138.5427	0.9997	3.1136	0.0224	3.0e-04	24.7474
1	-138.5790	-138.5790	-138.5454	0.9998	3.0597	0.0220	3.0e-04	13.4723
2	-138.5837	-138.5837	-138.5496	0.9998	3.0816	0.0222	3.0e-04	12.7588
3	-138.5876	-138.5876	-138.5482	0.9997	3.3081	0.0238	3.0e-04	12.7738
4	-138.5988	-138.5988	-138.5551	0.9997	3.4870	0.0251	3.0e-04	12.8072
5	-138.5928	-138.5928	-138.5427	0.9996	3.7352	0.0269	3.0e-04	12.8380
6	-138.6065	-138.6065	-138.5493	0.9996	3.9869	0.0287	3.0e-04	12.8660
7	-138.6065	-138.6065	-138.5439	0.9995	4.1710	0.0300	3.0e-04	12.8711
8	-138.6106	-138.6106	-138.5358	0.9995	4.5589	0.0328	3.0e-04	12.8851
9	-138.6148	-138.6148	-138.5254	0.9994	4.9831	0.0359	3.0e-04	12.8945
10	-138.6277	-138.6277	-138.5248	0.9993	5.3457	0.0385	3.0e-04	12.9068
11	-138.6340	-138.6340	-138.5050	0.9991	5.9849	0.0431	3.0e-04	12.9061
12	-138.6380	-138.6380	-138.4963	0.9990	6.2732	0.0452	3.0e-04	12.9085
13	-138.6458	-138.6458	-138.4839	0.9988	6.7051	0.0483	3.0e-04	12.9075
14	-138.6508	-138.6508	-138.4631	0.9986	7.2182	0.0520	3.0e-04	12.9227
15	-138.6664	-138.6664	-138.4583	0.9985	7.5959	0.0547	3.0e-04	12.9272
16	-138.6688	-138.6688	-138.4285	0.9983	8.1642	0.0588	3.0e-04	12.9235
17	-138.6876	-138.6876	-138.4080	0.9980	8.8066	0.0635	3.0e-04	12.9067
18	-138.6992	-138.6992	-138.3939	0.9978	9.2027	0.0663	3.0e-04	12.9197
19	-138.7147	-138.7147	-138.3809	0.9976	9.6211	0.0693	3.0e-04	12.9080
20	-138.7143	-138.7143	-138.3410	0.9973	10.1673	0.0733	3.0e-04	12.9169
21	-138.7387	-138.7387	-138.3305	0.9971	10.6407	0.0767	3.0e-04	12.9062
22	-138.7445	-138.7445	-138.3096	0.9969	10.9801	0.0791	3.0e-04	12.9142
23	-138.7335	-138.7335	-138.2579	0.9966	11.4838	0.0827	3.0e-04	12.9067
24	-138.7744	-138.7744	-138.2652	0.9963	11.8826	0.0856	3.0e-04	12.9162
25	-138.7844	-138.7844	-138.2414	0.9961	12.2722	0.0884	3.0e-04	12.9128
26	-138.8006	-138.8006	-138.2418	0.9960	12.4474	0.0896	3.0e-04	12.9176
27	-138.8179	-138.8179	-138.2363	0.9958	12.6989	0.0914	3.0e-04	12.9129
28	-138.8266	-138.8266	-138.2176	0.9956	12.9952	0.0935	3.0e-04	12.9159
29	-138.8398	-138.8398	-138.1969	0.9954	13.3560	0.0961	3.0e-04	12.9208
30	-138.8538	-138.8538	-138.1894	0.9952	13.5766	0.0977	3.0e-04	12.9220
31	-138.8808	-138.8808	-138.2049	0.9951	13.6945	0.0985	3.0e-04	12.9151
32	-138.8995	-138.8995	-138.2170	0.9951	13.7659	0.0990	3.0e-04	12.9097
33	-138.8930	-138.8930	-138.2055	0.9951	13.8215	0.0994	3.0e-04	12.9179
34	-138.9151	-138.9151	-138.1959	0.9948	14.1387	0.1016	3.0e-04	12.9215
35	-138.9370	-138.9370	-138.2426	0.9950	13.8991	0.0998	3.0e-04	12.9150
36	-138.9287	-138.9287	-138.2586	0.9952	13.6471	0.0980	3.0e-04	12.9161
37	-138.9828	-138.9828	-138.2860	0.9950	13.9237	0.1000	3.0e-04	12.9081
38	-138.9579	-138.9579	-138.2674	0.9950	13.8701	0.0996	3.0e-04	12.9270
39	-138.9697	-138.9697	-138.2961	0.9952	13.7028	0.0983	3.0e-04	12.9092
40	-138.9889	-138.9889	-138.2795	0.9949	14.0676	0.1009	3.0e-04	12.9117
41	-138.9977	-138.9977	-138.3126	0.9951	13.8266	0.0991	3.0e-04	12.9199
42	-139.0023	-139.0023	-138.3273	0.9951	13.7291	0.0984	3.0e-04	12.9225
43	-139.0049	-139.0049	-138.3587	0.9954	13.4432	0.0963	3.0e-04	12.9196
44	-139.0399	-139.0399	-138.3720	0.9952	13.6706	0.0979	3.0e-04	12.9148
45	-139.0583	-139.0583	-138.3791	0.9951	13.7890	0.0987	3.0e-04	12.9441
46	-139.0407	-139.0407	-138.3661	0.9951	13.7416	0.0984	3.0e-04	13.5350
47	-139.0711	-139.0711	-138.3689	0.9950	14.0215	0.1004	3.0e-04	12.9711
48	-139.0862	-139.0862	-138.3666	0.9948	14.1971	0.1016	3.0e-04	12.9036
49	-139.0828	-139.0828	-138.3826	0.9950	14.0098	0.1002	3.0e-04	12.9134
50	-139.0666	-139.0666	-138.3394	0.9948	14.2727	0.1021	3.0e-04	12.9214
51	-139.0924	-139.0924	-138.3741	0.9948	14.1794	0.1015	3.0e-04	12.9156
52	-139.0832	-139.0832	-138.3304	0.9946	14.5195	0.1039	3.0e-04	12.9192
53	-139.0630	-139.0630	-138.2975	0.9945	14.6374	0.1048	3.0e-04	12.9239
54	-139.1038	-139.1038	-138.3165	0.9943	14.8451	0.1062	3.0e-04	12.9195
55	-139.1087	-139.1087	-138.2747	0.9940	15.2755	0.1093	3.0e-04	12.9191
56	-139.0886	-139.0886	-138.2617	0.9941	15.1906	0.1088	3.0e-04	12.9216
57	-139.1214	-139.1214	-138.2628	0.9938	15.4917	0.1109	3.0e-04	12.9207
58	-139.1285	-139.1285	-138.2641	0.9938	15.5460	0.1113	3.0e-04	12.9237
59	-139.1080	-139.1080	-138.2298	0.9937	15.6677	0.1122	3.0e-04	12.9242
60	-139.1032	-139.1032	-138.1915	0.9934	15.9582	0.1143	3.0e-04	12.9143
61	-139.1278	-139.1278	-138.1738	0.9931	16.3174	0.1169	3.0e-04	12.9268
62	-139.1183	-139.1183	-138.1898	0.9933	16.1058	0.1153	3.0e-04	12.9098
63	-139.1574	-139.1574	-138.1903	0.9930	16.4248	0.1177	3.0e-04	12.9201
64	-139.1327	-139.1327	-138.1513	0.9929	16.5480	0.1186	3.0e-04	12.9162
65	-139.1320	-139.1320	-138.1598	0.9930	16.4630	0.1179	3.0e-04	12.9159
66	-139.1650	-139.1650	-138.1374	0.9926	16.9294	0.1213	3.0e-04	12.9214
67	-139.1624	-139.1624	-138.1106	0.9924	17.1272	0.1227	3.0e-04	12.9137
68	-139.1481	-139.1481	-138.1270	0.9927	16.8775	0.1209	3.0e-04	12.9095
69	-139.1333	-139.1333	-138.1107	0.9927	16.8877	0.1210	3.0e-04	12.9168
70	-139.1175	-139.1175	-138.0843	0.9926	16.9741	0.1216	3.0e-04	12.9081
71	-139.1591	-139.1591	-138.1083	0.9924	17.1202	0.1226	3.0e-04	12.9171
72	-139.1654	-139.1654	-138.1284	0.9925	17.0085	0.1218	3.0e-04	12.9145
73	-139.1548	-139.1548	-138.0796	0.9923	17.3066	0.1241	3.0e-04	12.9109
74	-139.1517	-139.1517	-138.0458	0.9921	17.5611	0.1258	3.0e-04	12.9174
75	-139.1632	-139.1632	-138.0388	0.9919	17.6938	0.1268	3.0e-04	12.9133
76	-139.1488	-139.1488	-138.0509	0.9921	17.4912	0.1254	3.0e-04	12.9169
77	-139.1672	-139.1672	-137.9839	0.9915	18.1543	0.1301	3.0e-04	12.9188
