# [2025-02-18 16:22:25,661] INFO: Loading Hamiltonian from saved file
# [2025-02-18 16:22:28,170] INFO: Setting up the training loop
# [2025-02-18 16:22:29,463] INFO: Initializing parameters and states
# [2025-02-18 16:22:38,922] INFO: Burning in the sampler for 100 steps
# [2025-02-18 16:22:46,244] INFO: Start training
# HF energy from loaded: -73.26973745387136
# step	loss	e_tot	exp_es	exp_s	std_es	std_s	lr	time
0	-73.3251	-73.3251	-73.3175	0.9999	1.0639	0.0145	3.0e-04	21.5401
1	-73.3266	-73.3266	-73.3189	0.9999	1.0650	0.0145	3.0e-04	10.2741
2	-73.3325	-73.3325	-73.3234	0.9999	1.1553	0.0157	3.0e-04	9.3625
3	-73.3335	-73.3335	-73.3223	0.9998	1.2897	0.0175	3.0e-04	9.3814
4	-73.3370	-73.3370	-73.3235	0.9998	1.4099	0.0192	3.0e-04	9.3921
5	-73.3398	-73.3398	-73.3235	0.9998	1.5480	0.0211	3.0e-04	9.4104
6	-73.3424	-73.3424	-73.3225	0.9997	1.7108	0.0233	3.0e-04	9.4165
7	-73.3475	-73.3475	-73.3232	0.9997	1.8917	0.0257	3.0e-04	9.4200
8	-73.3519	-73.3519	-73.3218	0.9996	2.1046	0.0286	3.0e-04	9.4313
9	-73.3558	-73.3558	-73.3198	0.9995	2.3017	0.0313	3.0e-04	9.4374
10	-73.3577	-73.3577	-73.3148	0.9994	2.5104	0.0342	3.0e-04	9.4402
11	-73.3670	-73.3670	-73.3166	0.9993	2.7241	0.0371	3.0e-04	9.4437
12	-73.3723	-73.3723	-73.3130	0.9992	2.9530	0.0402	3.0e-04	9.4458
13	-73.3788	-73.3788	-73.3101	0.9991	3.1780	0.0433	3.0e-04	9.4455
14	-73.3850	-73.3850	-73.3047	0.9989	3.4367	0.0468	3.0e-04	9.4504
15	-73.3901	-73.3901	-73.2966	0.9987	3.7069	0.0505	3.0e-04	9.4552
16	-73.4012	-73.4012	-73.2991	0.9986	3.8734	0.0527	3.0e-04	9.4583
17	-73.4037	-73.4037	-73.2902	0.9985	4.0845	0.0556	3.0e-04	9.4581
18	-73.4078	-73.4078	-73.2824	0.9983	4.2929	0.0584	3.0e-04	9.4578
19	-73.4213	-73.4213	-73.2810	0.9981	4.5417	0.0618	3.0e-04	9.4607
20	-73.4316	-73.4316	-73.2756	0.9979	4.7871	0.0651	3.0e-04	9.4617
21	-73.4366	-73.4366	-73.2655	0.9977	5.0146	0.0682	3.0e-04	9.4630
22	-73.4478	-73.4478	-73.2536	0.9974	5.3441	0.0727	3.0e-04	9.4624
23	-73.4690	-73.4690	-73.2639	0.9972	5.4927	0.0747	3.0e-04	9.4624
24	-73.4745	-73.4745	-73.2595	0.9971	5.6238	0.0764	3.0e-04	9.4622
25	-73.4870	-73.4870	-73.2536	0.9968	5.8580	0.0796	3.0e-04	9.4576
26	-73.5001	-73.5001	-73.2627	0.9968	5.9051	0.0802	3.0e-04	9.4606
27	-73.5128	-73.5128	-73.2681	0.9967	6.0004	0.0815	3.0e-04	9.4600
28	-73.5313	-73.5313	-73.2757	0.9965	6.1348	0.0833	3.0e-04	9.4606
29	-73.5403	-73.5403	-73.2803	0.9965	6.1915	0.0840	3.0e-04	9.4642
30	-73.5477	-73.5477	-73.2838	0.9964	6.2387	0.0846	3.0e-04	9.4644
31	-73.5438	-73.5438	-73.2783	0.9964	6.2607	0.0849	3.0e-04	9.4599
32	-73.5656	-73.5656	-73.2975	0.9964	6.2915	0.0853	3.0e-04	9.4607
33	-73.5816	-73.5816	-73.3146	0.9964	6.2828	0.0851	3.0e-04	9.4659
34	-73.6013	-73.6013	-73.3354	0.9964	6.2739	0.0849	3.0e-04	9.4677
35	-73.5941	-73.5941	-73.3344	0.9965	6.2018	0.0839	3.0e-04	9.4660
36	-73.6160	-73.6160	-73.3548	0.9965	6.2254	0.0842	3.0e-04	9.4676
37	-73.6367	-73.6367	-73.3837	0.9966	6.1322	0.0828	3.0e-04	9.4639
38	-73.6404	-73.6404	-73.3891	0.9966	6.1135	0.0825	3.0e-04	9.4673
39	-73.6311	-73.6311	-73.3834	0.9966	6.0760	0.0819	3.0e-04	9.4656
40	-73.6645	-73.6645	-73.4242	0.9967	5.9940	0.0807	3.0e-04	9.4680
41	-73.6653	-73.6653	-73.4172	0.9966	6.0910	0.0820	3.0e-04	9.4651
42	-73.6747	-73.6747	-73.4329	0.9967	6.0243	0.0809	3.0e-04	9.4666
43	-73.6579	-73.6579	-73.4209	0.9968	5.9677	0.0801	3.0e-04	9.4648
44	-73.6890	-73.6890	-73.4546	0.9968	5.9426	0.0797	3.0e-04	9.4606
45	-73.6796	-73.6796	-73.4526	0.9969	5.8538	0.0784	3.0e-04	9.4633
46	-73.6793	-73.6793	-73.4655	0.9971	5.6900	0.0761	3.0e-04	9.4621
47	-73.7143	-73.7143	-73.4937	0.9970	5.7882	0.0773	3.0e-04	9.4659
