# [2025-02-18 16:19:10,120] INFO: Loading Hamiltonian from saved file
# [2025-02-18 16:19:12,632] INFO: Setting up the training loop
# [2025-02-18 16:19:13,921] INFO: Initializing parameters and states
# [2025-02-18 16:19:23,513] INFO: Burning in the sampler for 100 steps
# [2025-02-18 16:19:31,114] INFO: Start training
# HF energy from loaded: -86.35355428968002
# step	loss	e_tot	exp_es	exp_s	std_es	std_s	lr	time
0	-86.4202	-86.4202	-86.4127	0.9999	1.1447	0.0132	3.0e-04	22.1902
1	-86.4211	-86.4211	-86.4136	0.9999	1.1452	0.0132	3.0e-04	10.6948
2	-86.4278	-86.4278	-86.4188	0.9999	1.2536	0.0144	3.0e-04	9.6317
3	-86.4294	-86.4294	-86.4172	0.9999	1.4597	0.0168	3.0e-04	9.6582
4	-86.4323	-86.4323	-86.4168	0.9998	1.6409	0.0189	3.0e-04	9.6812
5	-86.4373	-86.4373	-86.4179	0.9998	1.8372	0.0212	3.0e-04	9.6900
6	-86.4394	-86.4394	-86.4147	0.9997	2.0686	0.0239	3.0e-04	9.7130
7	-86.4466	-86.4466	-86.4164	0.9997	2.2909	0.0265	3.0e-04	9.7145
8	-86.4511	-86.4511	-86.4143	0.9996	2.5249	0.0292	3.0e-04	9.7287
9	-86.4535	-86.4535	-86.4079	0.9995	2.8114	0.0325	3.0e-04	9.7342
10	-86.4584	-86.4584	-86.4034	0.9994	3.0868	0.0357	3.0e-04	9.7417
11	-86.4638	-86.4638	-86.3983	0.9992	3.3682	0.0389	3.0e-04	9.7409
12	-86.4745	-86.4745	-86.3974	0.9991	3.6533	0.0422	3.0e-04	9.7435
13	-86.4803	-86.4803	-86.3887	0.9989	3.9827	0.0460	3.0e-04	9.7514
14	-86.4858	-86.4858	-86.3787	0.9988	4.3063	0.0497	3.0e-04	9.7536
15	-86.4900	-86.4900	-86.3708	0.9986	4.5424	0.0525	3.0e-04	9.7505
16	-86.4995	-86.4995	-86.3598	0.9984	4.9171	0.0568	3.0e-04	9.7484
17	-86.5049	-86.5049	-86.3549	0.9983	5.0953	0.0589	3.0e-04	9.7540
18	-86.5098	-86.5098	-86.3346	0.9980	5.5077	0.0636	3.0e-04	9.7601
19	-86.5221	-86.5221	-86.3303	0.9978	5.7591	0.0665	3.0e-04	9.7549
20	-86.5346	-86.5346	-86.3319	0.9977	5.9210	0.0684	3.0e-04	9.7560
21	-86.5367	-86.5367	-86.3209	0.9975	6.1114	0.0706	3.0e-04	9.7561
22	-86.5562	-86.5562	-86.3133	0.9972	6.4825	0.0749	3.0e-04	9.7545
23	-86.5669	-86.5669	-86.3030	0.9970	6.7551	0.0780	3.0e-04	9.7562
24	-86.5858	-86.5858	-86.3049	0.9968	6.9711	0.0805	3.0e-04	9.7572
25	-86.5831	-86.5831	-86.2885	0.9966	7.1425	0.0824	3.0e-04	9.7561
26	-86.6055	-86.6055	-86.2789	0.9962	7.5153	0.0867	3.0e-04	9.7607
27	-86.6174	-86.6174	-86.2961	0.9963	7.4576	0.0860	3.0e-04	9.7576
28	-86.6298	-86.6298	-86.2882	0.9961	7.6930	0.0887	3.0e-04	9.7660
29	-86.6327	-86.6327	-86.2883	0.9960	7.7255	0.0891	3.0e-04	9.7470
30	-86.6491	-86.6491	-86.2980	0.9959	7.8016	0.0899	3.0e-04	9.7473
31	-86.6497	-86.6497	-86.2855	0.9958	7.9469	0.0916	3.0e-04	9.7614
32	-86.6587	-86.6587	-86.2886	0.9957	8.0139	0.0923	3.0e-04	9.7553
33	-86.6862	-86.6862	-86.3145	0.9957	8.0337	0.0925	3.0e-04	9.7525
34	-86.6998	-86.6998	-86.3238	0.9957	8.0854	0.0930	3.0e-04	9.7579
35	-86.6994	-86.6994	-86.3233	0.9957	8.0854	0.0930	3.0e-04	9.7582
36	-86.7191	-86.7191	-86.3535	0.9958	7.9800	0.0917	3.0e-04	9.7511
37	-86.7393	-86.7393	-86.3680	0.9957	8.0419	0.0924	3.0e-04	9.7525
38	-86.7384	-86.7384	-86.3834	0.9959	7.8700	0.0904	3.0e-04	9.7555
